open_lo,open_hi,lbc_lo,lbc_hi,zbc_max,mv_lo,mv_hi,fbt_max,plate_min,top_n,tp,sl,cost,rank,require_not_one_word,n,days,win_rate,avg_ret,sum_ret,max_dd,tp_share,in_n,in_wr,in_avg,oos_n,oos_wr,oos_avg
2.5,5.5,1,2,0,25,120,100000,1,1,0.008,0.0,0.0015,open_pct,True,28,28,0.9285714285714286,0.0005529715762273888,0.015483204134366886,-0.08483333333333332,0.9285714285714286,20,0.9,-0.0018258397932816577,8,1.0,0.006500000000000001
2.5,5.5,1,3,1,20,150,100000,1,1,0.008,0.0,0.0015,score,True,41,41,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09651380475393079,0.926829268292683,27,0.9259259259259259,0.00033271126423581006,14,0.9285714285714286,0.0009362519201228925
2.5,5.5,1,3,1,25,120,100000,1,2,0.008,0.0,0.0015,score,True,41,37,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.10234853924881349,0.926829268292683,23,0.9130434782608695,-0.0007398606898101372,18,0.9444444444444444,0.0021726403823178054
2.5,5.5,1,3,1,25,120,100000,1,2,0.008,0.0,0.0015,open_pct,True,41,37,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.10234853924881349,0.926829268292683,23,0.9130434782608695,-0.0007398606898101372,18,0.9444444444444444,0.0021726403823178054
2.5,5.5,1,4,0,20,150,100000,1,2,0.008,0.0,0.0015,score,True,41,40,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09064114448483129,0.926829268292683,29,0.9310344827586207,0.0007580415218747196,12,0.9166666666666666,8.960573476708093e-06
2.5,5.5,1,4,0,20,150,100000,1,2,0.008,0.0,0.0015,open_pct,True,41,40,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09064114448483129,0.926829268292683,29,0.9310344827586207,0.0007580415218747196,12,0.9166666666666666,8.960573476707949e-06
2.5,5.5,1,4,0,20,150,100000,1,3,0.008,0.0,0.0015,score,True,41,40,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09064114448483129,0.926829268292683,29,0.9310344827586207,0.0007580415218747196,12,0.9166666666666666,8.960573476708093e-06
2.5,5.5,1,4,0,20,150,100000,1,3,0.008,0.0,0.0015,open_pct,True,41,40,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09064114448483129,0.926829268292683,29,0.9310344827586207,0.0007580415218747196,12,0.9166666666666666,8.960573476707949e-06
2.5,5.5,1,4,1,25,120,100000,2,2,0.008,0.0,0.0015,open_pct,True,41,38,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09651380475393079,0.926829268292683,25,0.92,-0.00016067183462532519,16,0.9375,0.0016317204301075313
2.5,5.5,1,4,1,25,120,100000,2,3,0.008,0.0,0.0015,open_pct,True,41,38,0.926829268292683,0.0005387983174655451,0.02209073101608735,-0.09651380475393079,0.926829268292683,25,0.92,-0.00016067183462532519,16,0.9375,0.0016317204301075313
2.5,5.5,1,4,1,25,120,100000,2,2,0.008,0.0,0.0015,score,True,41,38,0.926829268292683,0.0005387983174655449,0.022090731016087342,-0.09651380475393079,0.926829268292683,25,0.92,-0.00016067183462532519,16,0.9375,0.0016317204301075313
2.5,5.5,1,4,1,25,120,100000,2,3,0.008,0.0,0.0015,score,True,41,38,0.926829268292683,0.0005387983174655449,0.022090731016087342,-0.09651380475393079,0.926829268292683,25,0.92,-0.00016067183462532519,16,0.9375,0.0016317204301075313
2.5,5.5,1,2,1,25,120,100000,1,3,0.008,0.0,0.0015,score,True,40,33,0.925,0.00038976827540218394,0.015590731016087357,-0.08483333333333332,0.925,20,0.9,-0.0018258397932816577,20,0.95,0.002605376344086025
2.5,5.5,1,2,1,25,120,100000,1,3,0.008,0.0,0.0015,open_pct,True,40,33,0.925,0.0003897682754021838,0.01559073101608735,-0.08483333333333332,0.925,20,0.9,-0.0018258397932816577,20,0.95,0.002605376344086025
2.5,5.5,1,2,1,20,150,100000,2,3,0.008,0.0,0.0015,score,True,40,35,0.925,0.0003897682754021838,0.01559073101608735,-0.08483333333333332,0.925,24,0.9166666666666666,-0.0004381998277347132,16,0.9375,0.0016317204301075313
2.5,5.5,1,2,1,20,150,100000,2,3,0.008,0.0,0.0015,open_pct,True,40,35,0.925,0.0003897682754021838,0.01559073101608735,-0.08483333333333332,0.925,24,0.9166666666666666,-0.0004381998277347132,16,0.9375,0.0016317204301075313
2.5,5.5,1,4,0,20,150,100000,1,1,0.008,0.0,0.0015,score,True,40,40,0.925,0.0003897682754021838,0.01559073101608735,-0.09064114448483129,0.925,29,0.9310344827586207,0.0007580415218747196,11,0.9090909090909091,-0.0005811339198435912
2.5,5.5,1,4,1,25,120,100000,1,1,0.008,0.0,0.0015,score,True,40,40,0.925,0.0003897682754021838,0.01559073101608735,-0.09651380475393079,0.925,25,0.92,-0.00016067183462532519,15,0.9333333333333333,0.0013071684587813669
2.5,5.5,1,3,1,20,150,100000,2,1,0.008,0.0,0.0015,score,True,39,39,0.9230769230769231,0.00023309566707916312,0.009090731016087362,-0.09651380475393079,0.9230769230769231,27,0.9259259259259259,0.00033271126423581006,12,0.9166666666666666,8.960573476707949e-06
2.5,5.5,1,2,1,20,150,100000,2,2,0.008,0.0,0.0015,score,True,39,35,0.9230769230769231,0.00023309566707916285,0.009090731016087351,-0.08483333333333332,0.9230769230769231,24,0.9166666666666666,-0.0004381998277347132,15,0.9333333333333333,0.0013071684587813665
2.5,5.5,1,2,1,20,150,100000,2,2,0.008,0.0,0.0015,open_pct,True,39,35,0.9230769230769231,0.00023309566707916285,0.009090731016087351,-0.08483333333333332,0.9230769230769231,24,0.9166666666666666,-0.0004381998277347132,15,0.9333333333333333,0.0013071684587813665
2.5,5.5,1,4,0,20,150,100000,2,2,0.008,0.0,0.0015,open_pct,True,38,37,0.9210526315789473,6.817713200229898e-05,0.0025907310160873612,-0.09064114448483129,0.9210526315789473,29,0.9310344827586207,0.0007580415218747196,9,0.8888888888888888,-0.0021547192353643893
2.5,5.5,1,4,0,20,150,100000,2,3,0.008,0.0,0.0015,open_pct,True,38,37,0.9210526315789473,6.817713200229898e-05,0.0025907310160873612,-0.09064114448483129,0.9210526315789473,29,0.9310344827586207,0.0007580415218747196,9,0.8888888888888888,-0.0021547192353643893
