cat,open_lo,open_hi,zbc_max,fbt_max,hs_max,mv_lo,mv_hi,top_n,hold_days,cost,prefer_open,n,days,win_rate,avg_ret,median_ret,comp_ret,max_dd,raw_n,raw_wr
一进二,0.5,1.5,0,103000,12,30,90,1,3,0.0015,1.0,13,13,0.6923076923076923,0.02030425828399924,0.028967988300292513,0.24291442629199067,-0.1696723419041002,14,0.6428571428571429
一进二,0.5,1.5,0,103000,12,30,90,2,3,0.0015,1.0,13,13,0.6923076923076923,0.008660498414138702,0.028967988300292513,0.0864816657231795,-0.1696723419041002,16,0.625
一进二,0.5,1.5,3,103000,16,25,100,1,3,0.0015,1.0,29,29,0.6896551724137931,0.03902326792805894,0.028282587114067115,1.7148573535736036,-0.1696723419041002,39,0.5897435897435898
一进二,0.5,1.5,5,103000,16,25,100,1,3,0.0015,1.0,29,29,0.6896551724137931,0.03902326792805894,0.028282587114067115,1.7148573535736036,-0.1696723419041002,39,0.5897435897435898
二进三,0.0,2.2,1,100000,8,25,100,1,3,0.0015,1.0,16,16,0.6875,0.06329204690326824,0.05617178174665266,1.3203885810965583,-0.41319812458899174,16,0.6875
二进三,0.0,2.2,2,100000,8,25,100,1,3,0.0015,1.0,16,16,0.6875,0.06329204690326824,0.05617178174665266,1.3203885810965583,-0.41319812458899174,16,0.6875
二进三,0.0,2.2,1,100000,8,25,100,2,3,0.0015,1.0,16,16,0.6875,0.06329204690326824,0.05617178174665266,1.3203885810965583,-0.41319812458899174,16,0.6875
二进三,0.0,2.2,2,100000,8,25,100,2,3,0.0015,1.0,16,16,0.6875,0.06329204690326824,0.05617178174665266,1.3203885810965583,-0.41319812458899174,16,0.6875
二进三,0.3,1.8,1,103000,12,30,90,1,3,0.0015,1.0,16,16,0.6875,0.050147881521637974,0.049144382020801014,0.9581572662460756,-0.3714422977904198,17,0.7058823529411765
二进三,0.3,1.8,2,103000,12,30,90,1,3,0.0015,1.0,16,16,0.6875,0.050147881521637974,0.049144382020801014,0.9581572662460756,-0.3714422977904198,17,0.7058823529411765
二进三,0.3,1.8,1,103000,12,30,90,2,3,0.0015,1.0,16,16,0.6875,0.050147881521637974,0.049144382020801014,0.9581572662460756,-0.3714422977904198,17,0.7058823529411765
二进三,0.3,1.8,2,103000,12,30,90,2,3,0.0015,1.0,16,16,0.6875,0.050147881521637974,0.049144382020801014,0.9581572662460756,-0.3714422977904198,17,0.7058823529411765
二进三,0.3,1.8,1,103000,12,25,100,2,3,0.0015,1.0,19,19,0.6842105263157895,0.05599829420902719,0.06515020982473457,1.478892947933828,-0.3587651346887418,21,0.7142857142857143
二进三,0.3,1.8,2,103000,12,25,100,2,3,0.0015,1.0,19,19,0.6842105263157895,0.05599829420902719,0.06515020982473457,1.478892947933828,-0.3587651346887418,21,0.7142857142857143
二进三,0.3,1.8,1,103000,12,25,100,1,3,0.0015,1.0,19,19,0.6842105263157895,0.04854633220111082,0.06515020982473457,1.1076827746115465,-0.4547890092537503,20,0.7
二进三,0.3,1.8,2,103000,12,25,100,1,3,0.0015,1.0,19,19,0.6842105263157895,0.04854633220111082,0.06515020982473457,1.1076827746115465,-0.4547890092537503,20,0.7
一进二,0.5,1.5,3,103000,16,30,90,1,3,0.0015,1.0,25,25,0.68,0.03942054481294632,0.028967988300292513,1.3626170643612676,-0.1696723419041002,34,0.6176470588235294
一进二,0.5,1.5,5,103000,16,30,90,1,3,0.0015,1.0,25,25,0.68,0.03942054481294632,0.028967988300292513,1.3626170643612676,-0.1696723419041002,34,0.6176470588235294
二进三,0.0,2.2,1,103000,10,25,100,1,3,0.0015,1.0,28,28,0.6785714285714286,0.052998696764101814,0.05988851536652323,2.3403377120205633,-0.44726292032224535,30,0.6666666666666666
二进三,0.0,2.2,2,103000,10,25,100,1,3,0.0015,1.0,28,28,0.6785714285714286,0.052998696764101814,0.05988851536652323,2.3403377120205633,-0.44726292032224535,30,0.6666666666666666
二进三,0.0,2.2,1,103000,10,25,100,2,3,0.0015,1.0,28,28,0.6785714285714286,0.052998696764101814,0.05988851536652323,2.3403377120205633,-0.44726292032224535,30,0.6666666666666666
二进三,0.0,2.2,2,103000,10,25,100,2,3,0.0015,1.0,28,28,0.6785714285714286,0.052998696764101814,0.05988851536652323,2.3403377120205633,-0.44726292032224535,30,0.6666666666666666
二进三,-0.5,1.8,1,103000,8,30,90,1,3,0.0015,1.0,30,30,0.6666666666666666,0.0512861469961831,0.058139957224314476,2.4633120039925065,-0.32221867178013974,33,0.6666666666666666
二进三,-0.5,1.8,2,103000,8,30,90,1,3,0.0015,1.0,30,30,0.6666666666666666,0.0512861469961831,0.058139957224314476,2.4633120039925065,-0.32221867178013974,33,0.6666666666666666
二进三,-0.5,1.8,1,103000,8,30,90,2,3,0.0015,1.0,30,30,0.6666666666666666,0.0512861469961831,0.058139957224314476,2.4633120039925065,-0.32221867178013974,34,0.6764705882352942
二进三,-0.5,1.8,2,103000,8,30,90,2,3,0.0015,1.0,30,30,0.6666666666666666,0.0512861469961831,0.058139957224314476,2.4633120039925065,-0.32221867178013974,34,0.6764705882352942
一进二,0.5,1.5,0,103000,22,20,120,2,3,0.0015,1.0,30,30,0.6666666666666666,0.021748933525708915,0.028297100946262754,0.7120406919340792,-0.23267362574241246,37,0.5945945945945946
一进二,0.5,1.5,1,103000,12,20,120,1,3,0.0015,1.0,27,27,0.6666666666666666,0.0271823985422426,0.014373015873015817,0.9019014121406375,-0.1696723419041002,37,0.5675675675675675
一进二,0.5,1.5,1,103000,12,20,120,2,3,0.0015,1.0,27,27,0.6666666666666666,0.02157614379008753,0.014373015873015817,0.6625287876563628,-0.1696723419041002,42,0.5476190476190477
一进二,0.5,1.5,0,103000,22,30,90,1,3,0.0015,1.0,24,24,0.6666666666666666,0.02315154039511073,0.02856978123961401,0.5723708329139436,-0.3042601354788079,25,0.64
