code,name,nmc
600674,川投能源,7682380.360928
600675,中华企业,1402703.396792
600676,久事动娱,692175.751312
600679,上海凤凰,348849.670855
600681,百川能源,468933.0702
600682,南京新百,653037.814275
600683,京投发展,707442.605135
600684,珠江股份,312366.624618
600685,中船防务,2254018.136664
600686,金龙汽车,814565.865712
600688,上海石化,2110698.288
600689,上海三毛,192690.445038
600690,海尔智家,13592671.235
600691,潞化科技,715051.371552
600692,亚通股份,164991.804499
600693,东百集团,949765.390726
600694,大商股份,564402.48039
600697,欧亚集团,174331.88883
600698,湖南天雁,656887.327131
600699,均胜电子,2668522.116456
600702,舍得酒业,1183736.78459
600703,三安光电,6600471.775821
600704,物产中大,2559734.04555
600706,曲江文旅,219228.049655
600707,彩虹股份,3038756.263004
600708,光明地产,676484.442384
600710,苏美达,1398221.89438
600711,盛屯矿业,3560384.506752
600712,南宁百货,310800.110067
600713,南京医药,678442.012512
600714,金瑞矿业,619002.634404
600715,文投控股,486603.28097
600716,凤凰股份,344470.29712
600717,天津港,1261784.452568
600718,东软集团,971508.347824
600719,大连热电,301426.702
600720,中交设计,524705.88092
600721,百花医药,459149.87619
600722,金牛化工,1170149.84272
600724,宁波富达,742700.529296
600725,云维股份,404250.16
600726,华电能源,3999304.87128
600727,鲁北化工,408066.18022
600728,佳都科技,1010852.049714
600729,重百集团,375726.511488
600731,湖南海利,316342.67636
600732,爱旭股份,2288410.367536
600733,北汽蓝谷,2980158.270033
600736,苏州高新,773668.833504
600737,中粮糖业,3338742.083908
600738,丽尚国潮,332411.127652
600739,辽宁成大,1662368.993376
600740,山西焦化,994103.007752
600741,华域汽车,4911943.967072
600742,富维股份,576612.91488
600743,华远控股,499719.486162
600744,华银电力,1261328.174154
600746,江苏索普,835007.66206
600748,上实发展,712001.276312
600749,西藏旅游,351569.585833
600750,华润江中,1473966.477416
600751,海航科技,800261.795172
600754,锦江酒店,1774940.319417
600755,厦门国贸,1230255.446999
600756,浪潮软件,473184.17938
600757,长江传媒,889493.376499
600758,辽宁能源,484712.825598
600760,中航沈飞,13655421.093726
600761,安徽合力,1458954.742518
600763,通策医疗,1578263.089103
600764,中国海防,1329587.581206
600765,中航重机,2128469.483763
600768,富邦新材,200754.5472
600769,祥龙电业,558341.0508
600770,综艺股份,660400.0
600771,广誉远,672071.336593
600773,西藏城投,1022004.29301
600774,汉商集团,222708.012237
600775,南京熊猫,663776.466652
600776,东方通信,1251404.083776
600777,新潮能源,2571925.565964
600778,友好集团,179570.986914
600779,水井坊,1325521.195362
600780,通宝能源,725736.097059
600782,新钢股份,880782.60172
600783,鲁信创投,1157478.70217
600784,鲁银投资,512144.425966
600785,新华百货,360107.52288
600787,中储股份,996066.528138
600789,鲁抗医药,765806.033326
600790,轻纺城,501300.497376
600791,京能置业,329284.370688
600792,云煤能源,441749.5928
600793,宜宾纸业,269424.795046
600794,保税科技,392449.755339
600795,国电电力,9577727.447034
600796,钱江生化,161657.024391
600797,浙大网新,715158.35352
600798,宁波海运,406602.025737
600800,渤海化学,379527.733872
600801,华新建材,3327410.16952
600802,福建水泥,238747.4164
600803,新奥股份,5916145.637682
600805,悦达投资,386025.017072
600807,济高发展,211844.383441
600808,马钢股份,1539679.805988
600809,山西汾酒,14951881.504832
600810,神马股份,707893.22024
600812,华北制药,804677.54353
600814,杭州解百,529256.59056
600815,厦工股份,720282.35888
600816,建元信托,1367284.47975
