date,code,name,price,pct,amount,float_mv,total_mv,turnover,lianban,first_seal,last_seal,seal_amt,open_times,industry,zt_days,zt_count,market_flag
20260811,603823,百合花,75.22,10.002924919128418,1878325440,31319178694.88,31319179296.64,6.250765323638916,1,135123,135123,96842741,0,化学制品,7,4,1
20260811,002762,金发拉比,10.31,10.03201675415039,224857171,2179311654.54,3649997832.48,11.0729341506958,1,135757,135757,8913902,0,服装家纺,3,2,0
20260811,603897,长城科技,29.14,10.003775596618652,316157744,6015535744.34,6015535744.34,5.520075798034668,1,140741,140741,128606476,0,电网设备,1,1,1
20260811,603655,朗博科技,33.79,9.993490219116211,177465963,3581740000.0,3581740000.0,5.257358551025391,1,143729,143729,12350245,0,汽车零部,3,2,1
20260811,002963,豪尔赛,20.09,10.021905899047852,350741280,2470950424.32,3020730993.7,14.874866485595703,1,145415,145415,11820956,0,装修装饰,8,6,0
20260810,300862,蓝盾光电,22.81,19.989479064941406,20085072,3455053669.6699996,4211134344.62,0.5813244581222534,1,92500,92500,1076291264,0,通用设备,1,1,0
20260810,000802,北京文化,4.7,10.070257186889648,479987088,3363056823.5,3364731203.2000003,14.281144142150879,1,92500,93218,94861463,1,影视院线,1,1,0
20260810,001388,信通电子,25.29,10.004349708557129,165327304,3164248685.88,5911942140.0,5.238347053527832,1,92500,93118,50119317,1,电网设备,1,1,0
20260810,002552,宝鼎科技,52.36,10.0,1234617872,19294832212.04,20314911774.079998,6.4547319412231445,5,92500,101651,129915632,3,元件,7,6,0
20260810,600490,鹏欣资源,7.9,10.027854919433594,686712896,15741708949.400002,17481807868.8,4.389364242553711,1,92501,93840,26552690,1,工业金属,1,1,1
20260810,600272,开开实业,14.27,10.023130416870117,84254632,2283200000.0,3748043255.15,3.690199375152588,3,92501,92501,67479704,0,医药商业,3,3,1
20260810,600664,哈药股份,7.52,9.941520690917969,990072048,18939194267.52,18939194237.44,5.231677532196045,2,92502,132059,316612168,1,化学制药,2,2,1
20260810,600721,百花医药,11.59,9.96204948425293,59325246,4456907089.65,4456907054.88,1.3310855627059937,5,92503,92503,449381874,0,医疗服务,5,5,1
20260810,301080,百普赛斯,77.7,20.0,2264869008,9855262561.2,13028662806.6,23.30624008178711,2,93000,145021,3571869,30,生物制品,2,2,0
20260810,002885,京泉华,31.91,9.996552467346191,236467428,7570833375.75,8644960704.16,3.1234002113342285,1,93000,93000,223296607,0,其他电子,1,1,0
20260810,002437,誉衡药业,3.43,9.935897827148438,1567556608,7203527708.93,7648447679.04,21.97418975830078,2,93012,143939,5694122,15,化学制药,2,2,0
20260810,002900,哈三联,14.83,10.014836311340332,882898544,2389445192.0,4691537887.52,37.158931732177734,2,93018,142854,5857850,12,化学制药,5,3,0
20260810,600683,京投发展,9.71,9.966024398803711,64566363,7192950466.870001,7192950496.000001,0.8992713689804077,1,93034,93043,67714627,1,房地产开,1,1,1
20260810,001258,立新能源,14.48,10.030394554138184,2519826912,13514496898.32,13514666589.44,18.893709182739258,1,93142,111615,81525296,8,电力,1,1,0
20260810,603758,秦安股份,11.53,10.019083976745605,123553210,4993828044.969999,4993828033.44,2.5283939838409424,2,93152,93152,37381124,0,汽车零部,2,2,1
20260810,002298,中电鑫龙,9.34,10.011778831481934,355176704,6171470258.58,6912635768.64,5.85281229019165,1,93221,93221,156675698,0,电网设备,1,1,0
20260810,600641,先导基电,34.41,10.006393432617188,990539600,32022975547.199997,32581656307.199997,3.1177978515625,2,93243,93243,162371912,0,半导体,2,2,1
20260810,603065,宿迁联盛,17.75,9.97521686553955,758079088,7436674403.0,7436674332.0,10.44154167175293,1,93345,103657,61262350,3,化学制品,1,1,1
