代码,SECUCODE,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日,_absnet,in_streak,连板数,有机构,机构买入家数,净买亿,买亿,卖亿,阶段
603045,603045.SH,福达合金,20260506,普通席位买入，成功率51.56%,51.35,10.0043,57620178.86,138349396.1,80729217.24,219078613.34,925770427.0,6.224024572347,23.664464423425,6.9685,6955108709.25,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.0097371,21.01265823,50.16553067,30.20447907,57620178.86,True,2,False,,0.5762017886,1.3834939609999999,0.8072921724,低位(1-2板)
000017,000017.SZ,深中华A,20260826,3家机构买入，成功率37.89%,9.46,10.0,-53907839.26,86241351.6,140149190.86,226390542.46,961828274.0,-5.604725990827,23.537522089936,24.1085,4575007317.12,日涨幅偏离值达到7%的前5只证券,10.0422833,,,,53907839.26,True,5,True,3.0,-0.5390783926,0.8624135159999999,1.4014919086000002,高位(5板+)
603318,603318.SH,水发燃气,20260428,普通席位买入，成功率43.60%,13.78,9.9761,-53393521.58,214991028.97,268384550.55,483375579.52,1883937681.0,-2.834144787192,25.657726600777,30.6787,6325997332.72,有价格涨跌幅限制的日换手率达到20%的前五只证券,5.58780842,3.48330914,-14.00580552,-20.31930334,53393521.58,True,5,False,,-0.5339352158,2.1499102897,2.6838455055000003,高位(5板+)
603779,603779.SH,威龙股份,20260521,普通席位买入，成功率61.58%,14.52,10.0,52035842.35,232311700.0,180275857.65,412587557.65,2038497849.0,2.552656230446,20.239783812006,42.6298,4821841588.08,有价格涨跌幅限制的日换手率达到20%的前五只证券,-9.9862259,-4.82093664,-24.93112948,-38.98071625,52035842.35,True,7,False,,0.5203584235000001,2.323117,1.8027585765,高位(5板+)
600162,600162.SH,香江控股,20260529,普通席位买入，成功率58.75%,2.79,9.8425,51859410.04,166366852.15,114507442.11,280874294.26,1015947820.0,5.104534801797,27.646527580521,3.5139,9118942360.38,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,4.65949821,15.05376344,23.29749104,24.37275986,51859410.04,True,5,False,,0.5185941004,1.6636685215,1.1450744211,高位(5板+)
600272,600272.SH,开开实业,20260812,普通席位买入，成功率49.97%,17.27,10.0,51740459.52,147761720.31,96021260.79,243782981.1,1786993411.0,2.895391734603,13.642074984685,39.4317,2798320000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,-7.3537927,1.91082803,12.91256514,22.17718587,51740459.52,True,5,False,,0.5174045952,1.4776172031,0.9602126079000001,高位(5板+)
000609,000609.SZ,*ST中迪,20260506,普通席位买入，成功率45.60%,15.14,4.9931,-47155110.96,79759121.04,126914232.0,206673353.04,952956529.0,-4.948296121071,21.687595052932,22.1467,4406622238.08,连续三个交易日内，日均换手率与前五个交易日的日均换手率的比值达到30倍，且换手率累计达20%的证券,5.01981506,7.79392338,-5.01981506,3.03830911,47155110.96,True,9,False,,-0.4715511096,0.7975912104,1.26914232,高位(5板+)
300862,300862.SZ,蓝盾光电,20260812,买一主买，成功率31.11%,32.84,19.9854,45506388.0,58901824.0,13395436.0,72297260.0,68193574.0,66.731196696041,106.017701902528,1.3709,4974307869.88,日涨幅达到15%的前5只证券,20.00609013,44.00121803,67.78319123,,45506388.0,True,3,False,,0.45506388,0.58901824,0.13395436,中位(3-4板)
600162,600162.SH,香江控股,20260527,普通席位买入，成功率68.87%,2.31,10.0,42020678.0,88630356.4,46609678.4,135240034.8,419510522.0,10.016596913867,32.237578727525,4.7888,7550092061.82,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.95670996,20.77922078,45.02164502,42.42424242,42020678.0,True,3,False,,0.42020678,0.8863035640000001,0.466096784,中位(3-4板)
600721,600721.SH,百花医药,20260806,浙江资金买入，成功率40.99%,9.58,9.9885,-41800891.86,136538272.12,178339163.98,314877436.1,1188527589.0,-3.517031682468,26.493069156681,32.7208,3683966343.3,有价格涨跌幅限制的日换手率达到20%的前五只证券,10.02087683,20.98121086,51.35699374,42.58872651,41800891.86,True,3,False,,-0.4180089186,1.3653827212,1.7833916397999998,中位(3-4板)
002674,002674.SZ,兴业科技,20260624,普通席位买入，成功率63.59%,23.83,10.0185,39211166.0,66804953.49,27593787.49,94398740.98,74565888.0,52.585930445836,126.597756040939,0.7931,6971791827.16,连续三个交易日内，涨幅偏离值累计达到20%的证券,9.98741083,20.98195552,7.76332354,22.32480067,39211166.0,True,4,False,,0.39211166,0.6680495349000001,0.2759378749,中位(3-4板)
603045,603045.SH,福达合金,20260508,买一主买，成功率46.67%,62.14,10.0018,38909143.0,95874799.0,56965656.0,152840455.0,192662620.0,20.195481095399,79.330622099918,1.2311,8416561931.7,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.99356292,18.45831992,12.53620856,5.06919858,38909143.0,True,4,False,,0.38909143,0.95874799,0.56965656,中位(3-4板)
001259,001259.SZ,利仁科技,20260520,浙江资金买入，成功率44.33%,80.53,9.9986,38858770.63,141238982.63,102380212.0,243619194.63,763635173.0,5.088656468945,31.902563323913,20.7935,3828758504.47,日振幅值达到15%的前5只证券,9.27604619,-1.65155843,-7.11536074,-8.2965265,38858770.63,True,8,False,,0.3885877063,1.4123898262999999,1.02380212,高位(5板+)
605179,605179.SH,一鸣食品,20260729,普通席位买入，成功率43.28%,16.01,10.0344,38315836.0,57777197.0,19461361.0,77238558.0,213359042.0,17.958383971372,36.201211477131,1.3904,6420010000.0,非S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9937539,20.9868832,45.78388507,89.81886321,38315836.0,True,2,False,,0.38315836,0.57777197,0.19461361,低位(1-2板)
002918,002918.SZ,蒙娜丽莎,20260512,普通席位买入，成功率44.67%,14.0,9.9764,37974651.0,76376718.0,38402067.0,114778785.0,154019255.0,24.655781512513,74.522360856764,1.8785,2998682120.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,10.0,21.0,19.78571429,0.14285714,37974651.0,True,3,False,,0.37974651,0.76376718,0.38402067,中位(3-4板)
600793,600793.SH,宜宾纸业,20260702,普通席位买入，成功率38.85%,14.55,9.9773,35907516.58,56981736.38,21074219.8,78055956.18,168492320.0,21.311070190024,46.326121083738,2.5094,2573953229.1,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,10.03436426,21.03092784,14.57044674,-3.57388316,35907516.58,True,2,False,,0.3590751658,0.5698173638,0.21074219800000002,低位(1-2板)
603779,603779.SH,威龙股份,20260518,普通席位买入，成功率61.33%,10.91,9.9798,35834465.91,58739889.75,22905423.84,81645313.59,89210027.0,40.16865268968,91.520332787255,1.0131,3623022846.14,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,9.9908341,20.98991751,26.67277727,-9.44087993,35834465.91,True,4,False,,0.35834465909999996,0.5873988975,0.2290542384,中位(3-4板)
